OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,LICENSE_CATEGORY_DESC,Hospital_Business_Phone,Chief_Executive_Officer,Title,Hospital_Web-Site_Address,Name_of_Owner,Software_Version,Active_Medical_Staff_Hospital_Based_Board_Certified_Anesthesiology,Active_Medical_Staff_Hospital_Based_Board_Certified_General/Family_Practice,Active_Medical_Staff_Hospital_Based_Board_Certified_Total,Type_of_Control_Church,Type_of_Control_Non-Profit_Corporation,Type_of_Control_Non-Profit_Other,Type_of_Control_Investor_-_Individual,Type_of_Control_Investor_-_Partnership,Type_of_Control_Investor_-_Corporation,Type_of_Control_State,Type_of_Control_County,Type_of_Control_City/County,Type_of_Control_City,Type_of_Control_District,Procedures_Total_Cardiology_Services,Procedures_Total_Gastro-Intestinal_Services,Sessions_Total_Physical_Therapy,Sessions_Total_Occupational_Therapy,Discharges_Total,Visits_Outpatient_Emergency_Services,Outpatient_Visits_Medi-Cal_-_Managed_Care_Emergency_Svcs.__(incl._Psych_ER),Outpatient_Visits_Medi-Cal_-_Managed_Care_Total,Balance_Sheet_Assets_Total_Assets,Income_Statement_Net_Patient_Revenue,Income_Statement_Other_Operating_Revenue,Income_Statement_Total_Operating_Revenue,Income_Statement_Operating_Expenses_Administrative_Services,Income_Statement_Total_Operating_Expenses,Income_Statement_Net_from_Operations,Summary_of_Revenue_and_Costs_Average_Patient_Care_Costs_Per_Unit_Medical/Surgical_Intensive_Care,Summary_of_Revenue_and_Costs_Average_Patient_Care_Costs_Per_Unit_Magnetic_Resonance_Imaging,Summary_of_Revenue_and_Costs_Average_Patient_Care_Costs_Per_Unit_Computed_Tomographic_Scanner,Summary_of_Revenue_and_Costs_Gross_Revenue_Radiology_-_Diagnostic,Summary_of_Revenue_and_Costs_Gross_Revenue_Drugs_Sold_to_Patients,Summary_of_Revenue_and_Costs_Gross_Revenue_Total_Ancillary_Services,Summary_of_Revenue_and_Costs_Gross_Revenue_Total_Operating_Revenue_and_Expense,Average_Hourly_Rate_Management_and_Supervision_Total_Daily_Hospital_Services,Average_Hourly_Rate_Management_and_Supervision_Emergency_Services,Average_Hourly_Rate_Registered_Nurses_Total_Daily_Hospital_Services,Average_Hourly_Rate_Registered_Nurses_Emergency_Services,Average_Hourly_Rate_Aides_and_Orderlies_Total_Daily_Hospital_Services,Average_Hourly_Rate_Clerical_and_Other_Administrative_Emergency_Services,AMI_RAMR,AMI_Deaths,AMI_Numcase,STROKE_RAMR,STROKE_Death,STROKE_NumCase,HFAIL_RAMR,HFAIL_deaths,HFAIL_NumCase
106190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,930000067,Parent Facility,1300 NORTH VERMONT AVENUE,LOS ANGELES,90027,LOS ANGELES,Emergency - Basic,434,General Acute Care Hospital,(213) 413-3000,ALLEN STEFANEK,CEO,WWW.HOLLYWOODPRESBYTERIAN.COM,"CHA HOLLYWOOD PRESBYTERIAN MEDICAL CENTER, LP",HFS,13,,65,,,,,,,,,,1,,31737,5692,54243,30356,12995,30138,12025,17924,173947121,249533659,1375682,250909341,55203786,231472326,19437015,2290.34,608.04,162.57,38759137,105012929,717917962,970317734,64.23,50.55,51.89,51.07,18.46,23.08,3.7,6,158,10.9,23,160,0.9,3,232
106190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,930000080,Parent Facility,13652 CANTARA STREET,PANORAMA CITY,91402,LOS ANGELES,Emergency - Basic,218,General Acute Care Hospital,(818) 375-2295,BERNARD TYSON,CHAIRMAN,WWW.KP.ORG,KAISER FOUNDATION HOSPITALS,HFS,10,18,391,,1,,,,,,,,,,,,91195,5265,9460,54679,9019,9429,,,,,,,,,,,,,,,,,,,,,1.8,2,83,4.5,5,116,1.7,6,182
106190762,ST. VINCENT MEDICAL CENTER,930000161,Parent Facility,2131 WEST 3RD STREET,LOS ANGELES,90057,LOS ANGELES,Emergency - Standby,366,General Acute Care Hospital,(213) 484-7111,CATHY FICKES,CEO,,DAUGHTERS OF CHARITY HEALTH SYSTEM,HFS,7,,11,1,,,,,,,,,,,15256,4677,162057,,8245,11759,3248,9931,137655113,183189799,3657799,186847598,34567021,229806233,-42958635,3316.98,667.23,183.17,67943315,70966397,742574242,1040562526,74.89,75.53,56.34,56.07,15.71,20.76,2.8,7,150,3.2,3,99,2.4,10,269
106310791,SUTTER AUBURN FAITH HOSPITAL,030000012,Parent Facility,11815 EDUCATION STREET,AUBURN,95602,PLACER,Emergency - Basic,64,General Acute Care Hospital,(530) 888-4500,MITCH HANNA,CHIEF ADMINISTRATOR,SUTTERAUBURNFAITHHOSPITAL.COM,SUTTER HEALTH,HFS,,,15,,1,,,,,,,,,,8387,3311,22089,2351,3354,23339,6097,8838,77917530,119121475,1387561,120509036,21222764,118933299,1575737,3893.85,439,345.99,4588048,54797801,253183544,394309671,67.14,68.92,66.55,65.22,22.9,24.17,12.1,5,14,8.7,3,62,1.1,2,85
106420483,GOLETA VALLEY COTTAGE HOSPITAL,050000034,Parent Facility,351 SOUTH PATTERSON AVENUE,SANTA BARBARA,93111,SANTA BARBARA,Emergency - Basic,52,General Acute Care Hospital,(805) 967-3411,RONALD C. WERFT,PRESIDENT/C.E.O.,COTTAGEHEALTHSYSTEM.ORG,GOLETA VALLEY COTTAGE HOSPITAL,HFS,10,,19,,,1,,,,,,,,,3797,,24231,4835,1585,17811,2322,3983,135731686,76108989,1479662,77588651,10232881,65679304,11909347,3513.24,615.9,137.28,4717362,17824103,154412223,196550116,76.87,74.35,56.97,56.19,20.67,18.71,.,.,.,.,.,.,0,0,8
106301262,MISSION HOSPITAL REGIONAL MEDICAL CENTER,060000146,Parent Facility,27700 MEDICAL CENTER ROAD,MISSION VIEJO,92691,ORANGE,Emergency - Basic,345,General Acute Care Hospital,(949) 364-1400,KENNETH MCFARLAND,CHIEF EXECUTIVE OFFICER,WWW.MISSION4HEALTH.COM,ST JOSEPH HEALTH SYSTEM,KPMG,29,,98,,1,,,,,,,,,,64209,6360,97957,,19789,55900,5600,11318,660723660,461647605,11157332,472804937,75687707,429049899,43755038,2640.37,658.63,172.11,77768479,133550617,1274676375,1846789327,63.48,58.62,50.82,48.45,21.9,25.63,4.9,15,249,6.2,29,286,1.7,13,279
106361266,MOUNTAINS COMMUNITY HOSPITAL,240000176,Parent Facility,29101 HOSPITAL ROAD,LAKE ARROWHEAD,92352,SAN BERNARDINO,Emergency - Standby,37,General Acute Care Hospital,(909) 336-3651,CHARLES HARRISON,ADMINISTRATOR,MCHCARES.COM,SAN BERNARDINO MOUNTAINS COMMUNITY HOSPITAL DISTRICT,HFS,,,3,,,,,,,,,,,1,,,5167,78,294,6868,897,3579,16678632,14419653,434027,14853680,2357497,17768586,-2914906,,,,8617913,3378512,19774795,36611921,39.63,47.94,39.27,40.52,15.07,,.,.,.,.,.,.,0,0,8
106370875,SHARP CHULA VISTA MEDICAL CENTER,090000008,Parent Facility,751 MEDICAL CENTER COURT,CHULA VISTA,91911,SAN DIEGO,Emergency - Basic,343,General Acute Care Hospital,(619) 502-3664,PABLO VELEZ,CEO,WWW.SHARP.COM/HOSPITALS/CHULA-VISTA,SHARP HEALTHCARE CORPORATION,HFS,9,,64,,1,,,,,,,,,,48440,32112,96151,36297,14905,51507,9679,24541,269930117,298494439,3597824,302092263,42009771,303664412,-1572149,2458.75,792.72,272.62,40354155,294279087,1117752715,1643780204,61.13,63.71,50.94,46.89,16.81,19.01,5.4,13,186,8.1,23,250,1.4,12,538
106440755,DOMINICAN HOSPITAL,070000030,Parent Facility,1555 SOQUEL DRIVE,SANTA CRUZ,95065,SANTA CRUZ,Emergency - Basic,223,General Acute Care Hospital,(831) 462-7700,"NANETTE MICKIEWICZ, MD",CEO,WWW.DOMINICANHOSPITAL.ORG,DIGINITY HEALTH,KPMG,11,,27,1,,,,,,,,,,,38840,2128,102646,83131,10318,35831,5948,38511,446206151,349078956,3926895,353005851,57203387,307968730,45037121,3908.8,392.02,355.29,36625759,157661983,859835420,1402165785,76.02,76.7,76.43,83.1,30.83,34.88,6.2,10,193,8.3,14,175,3,10,299
106500867,EMANUEL MEDICAL CENTER,030000035,Parent Facility,825 DELBON AVENUE,TURLOCK,95382,STANISLAUS,Emergency - Basic,209,General Acute Care Hospital,(209) 667-4200,LINDA M. STUHMER,CEO,WWW.EMANUEL.ORG,EMANUEL MEDICAL CENTER,HFS,9,12,94,1,,,,,,,,,,,9604,861,13492,3904,4939,27824,12651,16503,153882982,101582939,1096024,102678963,19006230,102396772,282191,2882.94,859.78,61.81,43421113,73847400,438378082,620874833,62.08,72.97,53.19,54.4,15.91,,5.5,14,274,6.3,4,58,1.3,4,300
106270875,SALINAS VALLEY MEMORIAL HOSPITAL,070000083,Parent Facility,450 EAST ROMIE LANE,SALINAS,93901,MONTEREY,Emergency - Basic,263,General Acute Care Hospital,(831) 757-4333,PETE DELGADO,PRESIDENT/CEO,WWW.SVMH.COM,SALINAS VALLEY MEMORIAL HOSPITAL DISTRICT,HFS,15,19,218,,,,,,,,,,,1,23449,,32615,11989,10060,40731,13703,22423,462459980,327423368,4893995,332317363,35559859,317159614,15157749,3692.02,1535.33,268.17,38270713,129404143,664812982,954517532,84.08,,77.76,76.68,28.98,,4.8,14,227,6.3,17,213,1.9,8,245
106090793,BARTON MEMORIAL HOSPITAL,030000013,Parent Facility,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,96150,EL DORADO,Emergency - Basic,111,General Acute Care Hospital,(530) 541-3420,JOHN G. WILLIAMS,CEO,WWW.BARTONHEALTH.ORG,BARTON HEALTHCARE SYSTEM,HFS,7,4,40,,1,,,,,,,,,,1038,1440,31848,5055,2201,17255,3660,17138,210749593,127157613,3231144,130388757,14912298,103844560,26544197,2567.35,405.19,241.81,10581350,25354282,216302977,316700590,47.72,82.89,26.14,29.02,11.97,12.81,.,.,.,0,0,5,3.2,1,28
106301175,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER - EUCLID,060000109,Parent Facility,17100 EUCLID STREET,FOUNTAIN VALLEY,92708,ORANGE,Emergency - Basic,293,General Acute Care Hospital,(714) 966-7200,JOE BADALIAN,C.E.O,WWW.FOUNTAINVALLEYHOSPITAL.COM,TENET HEALTHCARE CORPORATION,KPMG,30,,40,,,,,,1,,,,,,42392,4822,91494,23683,18495,38645,17766,29539,309510207,334500491,2573101,337073592,73061123,330076039,6997553,1964.52,281.88,179.7,40689504,239659580,1628932445,2065689035,65.76,59.19,49.38,48.14,19.1,21.77,6.8,26,265,6.7,27,267,1.1,6,338
106344029,MERCY HOSPITAL OF FOLSOM,030000372,Parent Facility,1650 CREEKSIDE DRIVE,FOLSOM,95630,SACRAMENTO,Emergency - Basic,106,General Acute Care Hospital,(916) 938-7400,MICHAEL RICKS,PRESIDENT,WWW.MERCYFOLSOM.ORG,DIGNITY HEALTH,KPMG,,,76,1,,,,,,,,,,,14050,2571,58271,,6863,32110,6033,6510,196305622,178792156,4777944,183570100,28725867,145776596,37793504,3381.75,1032.65,,108072196,30527410,409341972,651786542,70.25,71.06,67.55,65.09,26.54,27.76,1.7,1,23,5.1,2,67,1.3,5,184
106194219,KECK HOSPITAL OF USC,930000459,Parent Facility,1500 SAN PABLO STREET,LOS ANGELES,90033,LOS ANGELES,,401,General Acute Care Hospital,(323) 442-8500,SCOTT EVANS,CHIEF EXECUTIVE OFFICER,WWW.KECKMEDICINE.ORG,UNIVERSITY OF SOUTHERN CALIFORNIA,KPMG,36,,135,,,1,,,,,,,,,3410,3220,73299,51199,11072,,,5206,1076403634,657883708,11422332,669306040,95418961,707734873,-38428833,3205.73,603.67,267.56,39464721,368458939,2020520911,2646413719,69.32,,52.88,,18.76,,7.5,5,63,6.2,43,298,4.2,11,147
106190315,GARFIELD MEDICAL CENTER,930000057,Parent Facility,525 NORTH GARFIELD AVENUE,MONTEREY PARK,91754,LOS ANGELES,Emergency - Basic,210,General Acute Care Hospital,(626) 307-2010,DAVID BATISTA,CEO,,GARFIELD MEDICAL CENTER,KPMG,1,,16,,,,,1,,,,,,,56944,3890,52591,12627,12430,19811,4417,8276,162706554,231770476,1614156,233384632,71112152,219244265,14140367,2399.78,770.31,658.11,20532070,332503503,1217572242,1579510322,58.8,23.77,48.52,51.29,15.72,17.27,6.7,16,223,5.1,12,247,1.1,5,323
106201281,MADERA COMMUNITY HOSPITAL,040000191,Parent Facility,1250 EAST ALMOND AVENUE,MADERA,93637,MADERA,Emergency - Basic,106,General Acute Care Hospital,(559) 675-5555,JOHN W FRYE,CEO,MADERAHOSPITAL.ORG,MADERA COMMUNITY HOSPITAL,HFS,,,8,,1,,,,,,,,,,,,1041,,4388,36731,14421,47130,75905064,69568112,3082370,72650482,10112464,79253879,-6603397,1697.12,628.63,138.88,7018422,31995944,119636440,185205937,54.63,49.17,40.46,40.43,13.18,12.71,0,0,64,6.7,1,24,3.3,2,78
106340950,MERCY SAN JUAN HOSPITAL,030000063,Parent Facility,6501 COYLE AVENUE,CARMICHAEL,95608,SACRAMENTO,Emergency - Basic,370,General Acute Care Hospital,(916) 537-5000,BRIAN IVIE,PRESIDENT,WWW.MERCYSANJUAN.ORG,DIGNITY HEALTH,KPMG,,,,1,,,,,,,,,,,46676,4336,89922,,24883,57512,17677,24779,375786910,547547245,3976893,551524138,81536052,529464186,22059952,3016.41,300.81,187.58,116096215,135759570,1560133096,2493448842,68.12,61.2,66.69,66.43,26.28,26.84,4.8,18,267,8.3,100,674,0.8,10,673
106370780,TRI-CITY MEDICAL CENTER,080000099,Parent Facility,4002 VISTA WAY,OCEANSIDE,92056,SAN DIEGO,Emergency - Basic,386,General Acute Care Hospital,(706) 724-8411,TIM MORAN,CEO,TRI-CITYMED.COM,TRI-CITY HOSPITAL DISTRICT,HFS,41,,77,,,,,,,,,,,1,60628,,142272,45906,15694,59161,11568,19976,226236870,304085269,3745935,307831204,35902830,319650762,-11819558,2157.17,335.98,379.31,42229446,225143451,977709375,1357142132,51.5,53.24,49.19,48.23,19.9,21.83,8.8,22,198,7.2,26,270,2.1,7,274
106420491,LOMPOC VALLEY MEDICAL CENTER,050000038,Parent Facility,1515 E. OCEAN AVENUE,LOMPOC,93436,SANTA BARBARA,Emergency - Basic,60,General Acute Care Hospital,(805) 737-3300,JAMES J. RAGGIO,ADMINISTRATOR,WWW.LOMPOCVMC.COM,LOMPOC VALLEY MEDICAL CENTER,HFS,2,,50,,,,,,,,,,,1,6519,,11229,6555,2611,20383,6314,13122,147058554,63985682,3341370,67327052,8850043,68690644,-1363592,2359.42,528.46,361.5,4445712,10791621,81477134,122533042,55.86,63.14,44.48,49.19,17.32,16.13,0,0,9,5,1,19,3.5,2,72
106040962,ENLOE MEDICAL CENTER- ESPLANADE,230000027,Parent Facility,1531 ESPLANADE,CHICO,95926,BUTTE,Emergency - Basic,228,General Acute Care Hospital,(530) 332-7300,MIKE WILTERMOOD,PRESIDENT/CEO,WWW.ENLOE.ORG,ENLOE MEDICAL CENTER,HFS,16,9,106,,1,,,,,,,,,,14032,7774,234264,68316,15321,38766,194,1354,522038099,427735449,2852716,430588165,54923658,443323735,-12735570,3356.45,313.73,238.27,79296321,134354165,1020728382,1727487123,63.46,62.23,55.62,57.23,17.9,20.47,8,24,308,7.3,21,229,1.8,9,324
106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,550001535,Parent Facility,28062 BAXTER ROAD,MURRIETA,92563,RIVERSIDE,Emergency - Basic,106,General Acute Care Hospital,(951) 290-4000,RICHARD RAWSON,CEO,HTTP://LLUMCMURRIETA.COM/,"PHYSICIANS HOSPITAL OF MURRIETA, LLC",HFS,,,,,,,,1,,,,,,,35314,5010,49834,6254,8613,41594,10342,17153,110645194,167440278,2903939,170344217,22233587,177987827,-7643610,2416.55,415.2,244.25,23705860,58292432,593196415,858418009,56.8,57.17,46.35,47.78,18.41,,7.1,16,275,8.3,5,90,1.8,5,267
106190034,ANTELOPE VALLEY HOSPITAL,930000008,Parent Facility,1600 WEST AVENUE J,LANCASTER,93534,LOS ANGELES,Emergency - Basic,420,General Acute Care Hospital,(661) 949-5000,DENNIS M. KNOX,CEO,WWW.AVHOSPITAL.ORG,ANTELOPE VALLEY HOSPITAL DISTRICT,KPMG,3,,79,,,,,,,,,,,1,3715,,65121,10425,20078,92695,41364,42447,363569717,335187033,12009113,347196146,39168322,349283423,-2087277,2038.81,241.9,107.27,25687613,64398016,851443746,1332304283,57.2,59.26,49.4,47.16,18.05,20.5,8.4,22,309,11.7,29,271,5,13,243
106342344,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,030000228,Parent Facility,6600 BRUCEVILLE ROAD,SACRAMENTO,95823,SACRAMENTO,Emergency - Basic,217,General Acute Care Hospital,(510) 987-3380,BERNARD TYSON,CHAIRMAN,WWW.KP.ORG,KAISER FOUNDATION HOSPITALS,HFS,15,25,524,,1,,,,,,,,,,,,19752,,13350,95644,30342,31176,,,,,,,,,,,,,,,,,,,,,5.3,11,179,6.4,15,204,2.1,14,398
106190883,WHITTIER HOSPITAL MEDICAL CENTER,930000402,Parent Facility,9080 COLIMA ROAD,WHITTIER,90605,LOS ANGELES,Emergency - Basic,178,General Acute Care Hospital,(562) 945-3561,RICHARD CASTRO,CEO,WWW.WHITTIERHOSPITAL.COM,WHITTIER HOSPITAL MEDICAL CENTER,KPMG,4,,32,,,,,,1,,,,,,9950,3315,27584,3809,8273,22906,8341,18012,46222156,104403440,1185969,105589409,19605723,100450376,5139033,2136.9,457.28,215.63,18923415,100742532,575310039,745758182,57.19,59.31,48.49,47.11,15.28,16.26,6.5,6,34,4.3,1,59,3.5,5,114
106070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,140000265,Parent Facility,1601 YGNACIO VALLEY ROAD,WALNUT CREEK,94598,CONTRA COSTA,Emergency - Basic,554,General Acute Care Hospital,(925) 939-3000,CALVIN KNIGHT,PRESIDENT/CEO,JOHNMUIRHEALTH.COM,JOHN MUIR HEALTH,HFS,1,,235,,1,,,,,,,,,,42887,1564,115228,61717,22728,25345,2431,12668,2357766818,755151963,14005531,769157494,86573755,682343788,86813706,4608.26,523.49,129.3,57675218,357147557,1817377209,3077839722,83.22,79.49,75.83,75.94,25.6,29.94,3.6,6,84,8.7,60,360,2.2,15,317
106420522,SANTA YNEZ VALLEY COTTAGE HOSPITAL,050000057,Parent Facility,2050 VIBORG ROAD,SOLVANG,93463,SANTA BARBARA,Emergency - Standby,11,General Acute Care Hospital,(805) 688-6431,RONALD C. WERFT,PRESIDENT,COTTAGEHEALTHSYSTEM.ORG,SANTA YNEZ VALLEY COTTAGE HOSPITAL,HFS,4,,8,,1,,,,,,,,,,1842,,124,,222,7057,820,1549,29399304,15195433,293491,15488924,1873963,14346778,1142146,,236.14,729.7,2941891,5583595,25278193,34980424,74.78,58.42,56.54,62,18.95,22,.,.,.,.,.,.,8.8,1,10
